dateTime,Cycle_Alt
2017-07-20T06:22:18.375000Z,
2017-07-20T06:22:18.500000Z,
2017-07-20T06:22:18.625000Z,
2017-07-20T06:22:18.750000Z,
2017-07-20T06:22:18.875000Z,
2017-07-20T06:22:19.000000Z,593
2017-07-20T06:22:19.125000Z,
2017-07-20T06:22:19.250000Z,
2017-07-20T06:22:19.375000Z,
2017-07-20T06:22:19.500000Z,
2017-07-20T06:22:19.625000Z,
2017-07-20T06:22:19.750000Z,
2017-07-20T06:22:19.875000Z,
2017-07-20T06:22:20.000000Z,593
2017-07-20T06:22:20.125000Z,
2017-07-20T06:22:20.250000Z,
2017-07-20T06:22:20.375000Z,
2017-07-20T06:22:20.500000Z,
2017-07-20T06:22:20.625000Z,
2017-07-20T06:22:20.750000Z,
2017-07-20T06:22:20.875000Z,
2017-07-20T06:22:21.000000Z,593
2017-07-20T06:22:21.125000Z,
2017-07-20T06:22:21.250000Z,
2017-07-20T06:22:21.375000Z,
2017-07-20T06:22:21.500000Z,
2017-07-20T06:22:21.625000Z,
2017-07-20T06:22:21.750000Z,
2017-07-20T06:22:21.875000Z,
2017-07-20T06:22:22.000000Z,593
2017-07-20T06:22:22.125000Z,
2017-07-20T06:22:22.250000Z,
2017-07-20T06:22:22.375000Z,
2017-07-20T06:22:22.500000Z,
2017-07-20T06:22:22.625000Z,
2017-07-20T06:22:22.750000Z,
2017-07-20T06:22:22.875000Z,
2017-07-20T06:22:23.000000Z,593
2017-07-20T06:22:23.125000Z,
2017-07-20T06:22:23.250000Z,
2017-07-20T06:22:23.375000Z,
2017-07-20T06:22:23.500000Z,
2017-07-20T06:22:23.625000Z,
2017-07-20T06:22:23.750000Z,
2017-07-20T06:22:23.875000Z,
2017-07-20T06:22:24.000000Z,593
2017-07-20T06:22:24.125000Z,
2017-07-20T06:22:24.250000Z,
2017-07-20T06:22:24.375000Z,
2017-07-20T06:22:24.500000Z,
2017-07-20T06:22:24.625000Z,
2017-07-20T06:22:24.750000Z,
2017-07-20T06:22:24.875000Z,
2017-07-20T06:22:25.000000Z,593
2017-07-20T06:22:25.125000Z,
2017-07-20T06:22:25.250000Z,
2017-07-20T06:22:25.375000Z,
2017-07-20T06:22:25.500000Z,
2017-07-20T06:22:25.625000Z,
2017-07-20T06:22:25.750000Z,
2017-07-20T06:22:25.875000Z,
2017-07-20T06:22:26.000000Z,593
2017-07-20T06:22:26.125000Z,
2017-07-20T06:22:26.250000Z,
2017-07-20T06:22:26.375000Z,
2017-07-20T06:22:26.500000Z,
2017-07-20T06:22:26.625000Z,
2017-07-20T06:22:26.750000Z,
2017-07-20T06:22:26.875000Z,
2017-07-20T06:22:27.000000Z,593
2017-07-20T06:22:27.125000Z,
2017-07-20T06:22:27.250000Z,
2017-07-20T06:22:27.375000Z,
2017-07-20T06:22:27.500000Z,
2017-07-20T06:22:27.625000Z,
2017-07-20T06:22:27.750000Z,
2017-07-20T06:22:27.875000Z,
2017-07-20T06:22:28.000000Z,593
2017-07-20T06:22:28.125000Z,
2017-07-20T06:22:28.250000Z,
2017-07-20T06:22:28.375000Z,
2017-07-20T06:22:28.500000Z,
2017-07-20T06:22:28.625000Z,
2017-07-20T06:22:28.750000Z,
2017-07-20T06:22:28.875000Z,
2017-07-20T06:22:29.000000Z,593
2017-07-20T06:22:29.125000Z,
2017-07-20T06:22:29.250000Z,
2017-07-20T06:22:29.375000Z,
2017-07-20T06:22:29.500000Z,
2017-07-20T06:22:29.625000Z,
2017-07-20T06:22:29.750000Z,
2017-07-20T06:22:29.875000Z,
2017-07-20T06:22:30.000000Z,593
2017-07-20T06:22:30.125000Z,
2017-07-20T06:22:30.250000Z,
2017-07-20T06:22:30.375000Z,
2017-07-20T06:22:30.500000Z,
2017-07-20T06:22:30.625000Z,
2017-07-20T06:22:30.750000Z,
2017-07-20T06:22:30.875000Z,
2017-07-20T06:22:31.000000Z,593
2017-07-20T06:22:31.125000Z,
2017-07-20T06:22:31.250000Z,
2017-07-20T06:22:31.375000Z,
2017-07-20T06:22:31.500000Z,
2017-07-20T06:22:31.625000Z,
2017-07-20T06:22:31.750000Z,
2017-07-20T06:22:31.875000Z,
2017-07-20T06:22:32.000000Z,593
2017-07-20T06:22:32.125000Z,
2017-07-20T06:22:32.250000Z,
2017-07-20T06:22:32.375000Z,
2017-07-20T06:22:32.500000Z,
2017-07-20T06:22:32.625000Z,
2017-07-20T06:22:32.750000Z,
2017-07-20T06:22:32.875000Z,
2017-07-20T06:22:33.000000Z,593
2017-07-20T06:22:33.125000Z,
2017-07-20T06:22:33.250000Z,
2017-07-20T06:22:33.375000Z,
2017-07-20T06:22:33.500000Z,
2017-07-20T06:22:33.625000Z,
2017-07-20T06:22:33.750000Z,
2017-07-20T06:22:33.875000Z,
2017-07-20T06:22:34.000000Z,593
2017-07-20T06:22:34.125000Z,
2017-07-20T06:22:34.250000Z,
